"TAX","Tax","GOV","Government","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1986","1986","GBP","Pound Sterling","0","Units",,,1585,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1987","1987","GBP","Pound Sterling","0","Units",,,1755,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1988","1988","GBP","Pound Sterling","0","Units",,,1885,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1989","1989","GBP","Pound Sterling","0","Units",,,2000,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1990","1990","GBP","Pound Sterling","0","Units",,,1848,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1991","1991","GBP","Pound Sterling","0","Units",,,1916,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1992","1992","GBP","Pound Sterling","0","Units",,,1950,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1993","1993","GBP","Pound Sterling","0","Units",,,2173,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1994","1994","GBP","Pound Sterling","0","Units",,,2134,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1995","1995","GBP","Pound Sterling","0","Units",,,2513,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1996","1996","GBP","Pound Sterling","0","Units",,,2318,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1997","1997","GBP","Pound Sterling","0","Units",,,2382,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1998","1998","GBP","Pound Sterling","0","Units",,,2118,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","1999","1999","GBP","Pound Sterling","0","Units",,,2070,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2000","2000","GBP","Pound Sterling","0","Units",,,2130,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2001","2001","GBP","Pound Sterling","0","Units",,,2100,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2002","2002","GBP","Pound Sterling","0","Units",,,1944,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2003","2003","GBP","Pound Sterling","0","Units",,,1955,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2004","2004","GBP","Pound Sterling","0","Units",,,2170,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2005","2005","GBP","Pound Sterling","0","Units",,,2268,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2006","2006","GBP","Pound Sterling","0","Units",,,2405,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2007","2007","GBP","Pound Sterling","0","Units",,,2415,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2008","2008","GBP","Pound Sterling","0","Units",,,2689,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2009","2009","GBP","Pound Sterling","0","Units",,,2655,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2010","2010","GBP","Pound Sterling","0","Units",,,2945,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2011","2011","GBP","Pound Sterling","0","Units",,,2937,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2012","2012","GBP","Pound Sterling","0","Units",,,2898,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2013","2013","GBP","Pound Sterling","0","Units",,,2926,,
"5100","5100 Taxes on production, sale, transfer, etc","SUPRA","Supranational","2014","2014","GBP","Pound Sterling","0","Units",,,2960,,
